0 1 A "A:
0 2 ABSOLUT a
2 3 eps p
3 4 eps s
4 5 eps U
5 6 eps "l
6 7 eps }:
7 1 eps t
0 8 ACCEPTERA a
8 9 eps k
9 10 eps s
10 11 eps e
11 12 eps p
12 13 eps "t
13 14 eps e:
14 15 eps r
15 1 eps a
0 16 ADAM "A:
16 17 eps d
17 18 eps a
18 1 eps m
0 19 ADJÖ a
19 20 eps "j
20 1 eps 9
0 21 ADRESS a
21 22 eps "d
22 23 eps r
23 24 eps E
24 1 eps s
0 25 ADVOKAT a
25 26 eps d
26 27 eps v
27 28 eps U
28 29 eps "k
29 30 eps A:
30 1 eps t
0 31 AFFÄR a
31 32 eps "f
32 33 eps E:
33 1 eps r
0 34 AFFÄREN a
34 35 eps "f
35 36 eps E:
36 37 eps r
37 38 eps e
38 1 eps n
0 39 AFFÄRER a
39 40 eps "f
40 41 eps E:
41 42 eps r
42 43 eps e
43 1 eps r
0 44 AGENT a
44 45 eps "g
45 46 eps E
46 47 eps n
47 1 eps t
0 48 AJ "a
48 1 eps j
0 49 AKTA "a
49 50 eps k
50 51 eps t
51 1 eps a
0 52 AL "A:
52 1 eps l
0 53 ALAN a
53 54 eps "l
54 55 eps A:
55 1 eps n
0 56 ALDRIG "a
56 57 eps l
57 58 eps d
58 59 eps r
59 60 eps I
60 1 eps g
0 61 ALEX "a
61 62 eps l
62 63 eps e
63 64 eps k
64 1 eps s
0 65 ALICE "a
65 66 eps l
66 67 eps I
67 1 eps s
0 68 ALL "a
68 1 eps l
0 69 ALLA "a
69 70 eps l
70 1 eps a
0 71 ALLDELES "a
71 72 eps l
72 73 eps d
73 74 eps e
74 75 eps l
75 76 eps e
76 1 eps s
0 77 ALLIHOP a
77 78 eps l
78 79 eps I
79 80 eps "h
80 81 eps u:
81 1 eps p
0 82 ALLIHOPA a
82 83 eps l
83 84 eps I
84 85 eps "h
85 86 eps u:
86 87 eps p
87 1 eps a
0 88 ALLS "a
88 89 eps l
89 1 eps s
0 90 ALLT "a
90 91 eps l
91 1 eps t
0 92 ALLTID "a
92 93 eps l
93 94 eps t
94 95 eps I
95 1 eps d
0 96 ALLTIHOP a
96 97 eps l
97 98 eps t
98 99 eps I
99 100 eps "h
100 101 eps u:
101 1 eps p
0 102 ALLTING "a
102 103 eps l
103 104 eps t
104 105 eps I
105 1 eps N
0 106 ALLTSÅ "a
106 107 eps l
107 108 eps t
108 109 eps s
109 1 eps O
0 110 ALLVAR "a
110 111 eps l
111 112 eps v
112 113 eps A:
113 1 eps r
0 114 ALLVARLIGT "a
114 115 eps l
115 116 eps %v
116 117 eps A:
117 118 eps l`
118 119 eps I
119 120 eps k
120 1 eps t
0 121 AMATÖRAKTIG a
121 122 eps m
122 123 eps a
123 124 eps "t
124 125 eps 2:
125 126 eps r
126 127 eps %a
127 128 eps k
128 129 eps t
129 130 eps I
130 1 eps g
0 131 AMERIKA a
131 132 eps "m
132 133 eps e:
133 134 eps r
134 135 eps I
135 136 eps k
136 1 eps a
0 137 AMERIKANSKA a
137 138 eps m
138 139 eps e
139 140 eps r
140 141 eps I
141 142 eps "k
142 143 eps A:
143 144 eps n
144 145 eps s
145 146 eps k
146 1 eps a
0 147 AN "a
147 1 eps n
0 148 AND "a
148 149 eps n
149 1 eps d
0 150 ANDAS "a
150 151 eps n
151 152 eps d
152 153 eps a
153 1 eps s
0 154 ANDRA "a
154 155 eps n
155 156 eps d
156 157 eps r
157 1 eps A:
0 158 ANDY "a
158 159 eps n
159 160 eps d
160 1 eps Y
0 161 ANING "A:
161 162 eps n
162 163 eps I
163 1 eps N
0 164 ANLEDNING "a
164 165 eps n
165 166 eps %l
166 167 eps e:
167 168 eps d
168 169 eps n
169 170 eps I
170 1 eps N
0 171 ANNA "a
171 172 eps n
172 1 eps a
0 173 ANNAN "a
173 174 eps n
174 175 eps a
175 1 eps n
0 176 ANNANSTANS "a
176 177 eps n
177 178 eps a
178 179 eps n
179 180 eps %s
180 181 eps t
181 182 eps a
182 183 eps n
183 1 eps s
0 184 ANNARS "a
184 185 eps n
185 186 eps a
186 1 eps s`
0 187 ANNAT "a
187 188 eps n
188 189 eps a
189 1 eps t
0 190 ANNORLUNDA "a
190 191 eps n
191 192 eps U
192 193 eps %l`
193 194 eps u0
194 195 eps n
195 196 eps d
196 1 eps a
0 197 ANSER "a
197 198 eps n
198 199 eps %s
199 200 eps e:
200 1 eps r
0 201 ANSIKTE "a
201 202 eps n
202 203 eps s
203 204 eps I
204 205 eps k
205 206 eps t
206 1 eps e
0 207 ANSIKTET "a
207 208 eps n
208 209 eps s
209 210 eps I
210 211 eps k
211 212 eps t
212 213 eps e
213 1 eps t
0 214 ANSVAR "a
214 215 eps n
215 216 eps %s
216 217 eps v
217 218 eps A:
218 1 eps r
0 219 ANSVARIG "a
219 220 eps n
220 221 eps %s
221 222 eps v
222 223 eps A:
223 224 eps r
224 225 eps I
225 1 eps g
0 226 ANTAGLIGEN "a
226 227 eps n
227 228 eps %t
228 229 eps A:
229 230 eps g
230 231 eps l
231 232 eps I
232 233 eps g
233 234 eps e
234 1 eps n
0 235 ANTAR "a
235 236 eps n
236 237 eps %t
237 238 eps A:
238 1 eps r
0 239 ANTINGEN "a
239 240 eps n
240 241 eps t
241 242 eps I
242 243 eps N
243 244 eps e
244 1 eps n
0 245 ANVÄND "a
245 246 eps n
246 247 eps %v
247 248 eps E
248 249 eps n
249 1 eps d
0 250 ANVÄNDA "a
250 251 eps n
251 252 eps %v
252 253 eps E
253 254 eps n
254 255 eps d
255 1 eps a
0 256 ANVÄNDE "a
256 257 eps n
257 258 eps %v
258 259 eps E
259 260 eps n
260 261 eps d
261 1 eps e
0 262 ANVÄNDER "a
262 263 eps n
263 264 eps %v
264 265 eps E
265 266 eps n
266 267 eps d
267 268 eps e
268 1 eps r
0 269 AR "A:
269 1 eps r
0 270 ARBETA "a
270 271 eps r
271 272 eps b
272 273 eps e:
273 274 eps t
274 1 eps a
0 275 ARBETAR "a
275 276 eps r
276 277 eps b
277 278 eps e:
278 279 eps t
279 280 eps a
280 1 eps r
0 281 ARBETE "a
281 282 eps r
282 283 eps b
283 284 eps e:
284 285 eps t
285 1 eps e
0 286 ARBETET "a
286 287 eps r
287 288 eps b
288 289 eps e:
289 290 eps t
290 291 eps e
291 1 eps t
0 292 ARG "a
292 293 eps r
293 1 eps j
0 294 ARM "a
294 295 eps r
295 1 eps m
0 296 ARMÉ a
296 297 eps r
297 298 eps "m
298 1 eps e:
0 299 ARMÉN a
299 300 eps r
300 301 eps "m
301 302 eps e:
302 1 eps n
0 303 ARTHUR "a
303 304 eps t`
304 305 eps u0
305 1 eps r
0 306 ATT "a
306 1 eps t
0 307 AV a
307 1 eps v
0 308 AVSKYR "A:
308 309 eps v
309 310 eps %S
310 311 eps y:
311 1 eps r
0 312 AVSLUTA "A:
312 313 eps v
313 314 eps %s
314 315 eps l
315 316 eps }:
316 317 eps t
317 1 eps a
0 318 AVTAL "A:
318 319 eps v
319 320 eps %t
320 321 eps A:
321 1 eps l
0 322 B "b
322 1 eps e:
0 323 BABY "b
323 324 eps E:
324 325 eps b
325 1 eps I
0 326 BACKA "b
326 327 eps a
327 328 eps k
328 1 eps a
0 329 BAD "b
329 330 eps A:
330 1 eps d
0 331 BAK "b
331 332 eps A:
332 1 eps k
0 333 BAKOM "b
333 334 eps A:
334 335 eps k
335 336 eps O
336 1 eps m
0 337 BAND "b
337 338 eps a
338 339 eps n
339 1 eps d
0 340 BANDET "b
340 341 eps a
341 342 eps n
342 343 eps d
343 344 eps e
344 1 eps t
0 345 BANKEN "b
345 346 eps a
346 347 eps N
347 348 eps k
348 349 eps e
349 1 eps n
0 350 BAR "b
350 351 eps A:
351 1 eps r
0 352 BARA "b
352 353 eps A:
353 354 eps r
354 1 eps a
0 355 BAREN "b
355 356 eps A:
356 357 eps r
357 358 eps e
358 1 eps n
0 359 BARN "b
359 360 eps A:
360 1 eps n`
0 361 BARNEN "b
361 362 eps A:
362 363 eps n`
363 364 eps e
364 1 eps n
0 365 BARNET "b
365 366 eps A:
366 367 eps n`
367 368 eps e
368 1 eps t
0 369 BE "b
369 1 eps e:
0 370 BEGÄR b
370 371 eps e
371 372 eps "j
372 373 eps E:
373 1 eps r
0 374 BEHÅLLA b
374 375 eps e
375 376 eps "h
376 377 eps O
377 378 eps l
378 1 eps a
0 379 BEHÖVA b
379 380 eps e
380 381 eps "h
381 382 eps 2:
382 383 eps v
383 1 eps a
0 384 BEHÖVDE b
384 385 eps e
385 386 eps "h
386 387 eps 2:
387 388 eps v
388 389 eps d
389 1 eps e
0 390 BEHÖVER b
390 391 eps e
391 392 eps "h
392 393 eps 2:
393 394 eps v
394 395 eps e
395 1 eps r
0 396 BEHÖVS b
396 397 eps e
397 398 eps "h
398 399 eps 2:
399 400 eps f
400 1 eps s
0 401 BEKLAGAR b
401 402 eps e
402 403 eps "k
403 404 eps l
404 405 eps A:
405 406 eps g
406 407 eps a
407 1 eps r
0 408 BEN "b
408 409 eps e:
409 1 eps n
